Title,Company,Experience,Salary,Location,Skills,Link
assembly engineer - fabrication,leading client,5-8 yrs,,junagadh,"fabrication, coordination, production engineering, quality management, gd&t, assembly line, assembly drawings, assembly drawing",https://www.naukri.com/job-listings-assembly-engineer-fabrication-mahasurya-ventures-india-pvt-ltd-junagadh-5-to-8-years-180325915729
assembly engineer - fabrication,leading client,5-8 yrs,,belgaum,"fabrication, coordination, production engineering, quality management, gd&t, assembly line, assembly drawings, assembly drawing",https://www.naukri.com/job-listings-assembly-engineer-fabrication-mahasurya-ventures-india-pvt-ltd-belgaum-5-to-8-years-180325915742
assembly engineer - fabrication,leading client,5-8 yrs,,chandigarh,"fabrication, coordination, production engineering, quality management, gd&t, assembly line, assembly drawings, assembly drawing",https://www.naukri.com/job-listings-assembly-engineer-fabrication-mahasurya-ventures-india-pvt-ltd-chandigarh-5-to-8-years-180325915741
assembly engineer - fabrication,leading client,5-8 yrs,,amreli,"fabrication, coordination, production engineering, quality management, gd&t, assembly line, assembly drawings, assembly drawing",https://www.naukri.com/job-listings-assembly-engineer-fabrication-mahasurya-ventures-india-pvt-ltd-amreli-5-to-8-years-180325915731
assembly engineer - fabrication,leading client,5-8 yrs,,chennai,"fabrication, coordination, production engineering, quality management, gd&t, assembly line, assembly drawings, assembly drawing",https://www.naukri.com/job-listings-assembly-engineer-fabrication-mahasurya-ventures-india-pvt-ltd-chennai-5-to-8-years-180325915745
assembly engineer - fabrication,leading client,5-8 yrs,,sangli,"fabrication, coordination, production engineering, quality management, gd&t, assembly line, assembly drawings, assembly drawing",https://www.naukri.com/job-listings-assembly-engineer-fabrication-mahasurya-ventures-india-pvt-ltd-sangli-5-to-8-years-180325915743
assembly engineer - fabrication,leading client,5-8 yrs,,ahmednagar,"fabrication, coordination, production engineering, quality management, gd&t, assembly line, assembly drawings, assembly drawing",https://www.naukri.com/job-listings-assembly-engineer-fabrication-mahasurya-ventures-india-pvt-ltd-ahmednagar-5-to-8-years-180325915733
assembly engineer - fabrication,leading client,5-8 yrs,,indore,"fabrication, coordination, production engineering, quality management, gd&t, assembly line, assembly drawings, assembly drawing",https://www.naukri.com/job-listings-assembly-engineer-fabrication-mahasurya-ventures-india-pvt-ltd-indore-5-to-8-years-180325915727
assembly engineer - fabrication,leading client,5-8 yrs,,lucknow,"fabrication, coordination, production engineering, quality management, gd&t, assembly line, assembly drawings, assembly drawing",https://www.naukri.com/job-listings-assembly-engineer-fabrication-mahasurya-ventures-india-pvt-ltd-lucknow-5-to-8-years-180325915726
assembly engineer - fabrication,leading client,5-8 yrs,,noida,"fabrication, coordination, production engineering, quality management, gd&t, assembly line, assembly drawings, assembly drawing",https://www.naukri.com/job-listings-assembly-engineer-fabrication-mahasurya-ventures-india-pvt-ltd-noida-5-to-8-years-180325915724
assembly engineer - fabrication,leading client,5-8 yrs,,ahmedabad,"fabrication, coordination, production engineering, quality management, gd&t, assembly line, assembly drawings, assembly drawing",https://www.naukri.com/job-listings-assembly-engineer-fabrication-mahasurya-ventures-india-pvt-ltd-ahmedabad-5-to-8-years-180325915720
assembly engineer - fabrication,leading client,5-8 yrs,,delhi / ncr,"fabrication, coordination, production engineering, quality management, gd&t, assembly line, assembly drawings, assembly drawing",https://www.naukri.com/job-listings-assembly-engineer-fabrication-mahasurya-ventures-india-pvt-ltd-delhi-ncr-5-to-8-years-180325915767
production supervisor,japanese automobile mnc,3-8 yrs,3-5 lacs pa,kadi,"shift management, check sheet, production mis, daily production planning, manpower handling, kaizen implementation, 4m change, production supervising",https://www.naukri.com/job-listings-production-supervisor-boffo-consultancy-services-kadi-3-to-8-years-180325012926
talent acquisition specialist,acbex global,1-3 yrs,,rajkot,"talent acquisition, employer branding, recruitment marketing, track recruitment metrics, sourcing, applicant tracking systems, vendor relationship management, job postings",https://www.naukri.com/job-listings-talent-acquisition-specialist-acbex-global-rajkot-1-to-3-years-180325910530
associate ta,orangemantra,1-5 yrs,,gurugram,"it recruitment, technical recruitment, recruitment, interpersonal skills, sourcing, communication skills, technical hiring, technical",https://www.naukri.com/job-listings-associate-ta-orangemantra-gurugram-1-to-5-years-180325502274
producer,eleven labs,3-6 yrs,,remote,"usage, c, analytical, shaping, production, manager technology, linguistics, research",https://www.naukri.com/job-listings-producer-elevenlabs-remote-3-to-6-years-180325501079
production manager,amax placement services,6-11 yrs,4-6 lacs pa,"unnao, kanpur, kanpur nagar","production management, production engineering, mechanical engineering, plant head, plant, production, management, mechanical",https://www.naukri.com/job-listings-production-manager-amax-placement-services-unnao-kanpur-kanpur-nagar-6-to-11-years-180325006122
contractual hr recruiter,ester industries,2-4 yrs,,gurugram,"end to end recruitment, recruitment, screening, hiring, sourcing, talent acquisition, contracts, end to end",https://www.naukri.com/job-listings-contractual-hr-recruiter-ester-industries-gurugram-2-to-4-years-180325009717
dotnet fullstack developer,university of cambridge,3-6 yrs,,bengaluru,"net fullstack, css, azure devops, pki, healthcare, encryption, oops, paas",https://www.naukri.com/job-listings-dotnet-fullstack-developer-university-of-cambridge-bengaluru-3-to-6-years-180225505462
dotnet fullstack developer,university of cambridge,3-6 yrs,,bengaluru,"net fullstack, css, azure devops, pki, healthcare, encryption, oops, paas",https://www.naukri.com/job-listings-dotnet-fullstack-developer-university-of-cambridge-bengaluru-3-to-6-years-180225504104
product developer,equicad solution llp,2-7 yrs,,remote,"computer science, automation, software design, backend, version control, git, powershell, agile",https://www.naukri.com/job-listings-product-developer-equicad-solution-llp-remote-2-to-7-years-180225500778
talent acquisition specialist: corporate recruitment,"metasys technologies, inc",2-5 yrs,,remote,"inhouse recruitment, hiring, ta, corporate recruitment, talent acquisition, recruitment, acquisition, corporate",https://www.naukri.com/job-listings-talent-acquisition-specialist-corporate-recruitment-metasys-technologies-inc-chandigarh-2-to-5-years-180325025641
hr manager,ajmera infotech,5-8 yrs,,bengaluru,"payroll, performance management, organizational development, workforce planning, hr, business strategy, talent management, employee relations",https://www.naukri.com/job-listings-hr-manager-ajmera-infotech-bengaluru-5-to-8-years-170924508072
talent & culture manager,prophecy,8-10 yrs,,bengaluru,"process optimization, hr operations, talent acquisition, diversity and inclusion, employee engagement, hr, medical insurance, management",https://www.naukri.com/job-listings-talent-culture-manager-prophecy-bengaluru-8-to-10-years-180225502176
"software developer (angular,.net,c#)",university of cambridge,2-5 yrs,,bengaluru,"c#, css, bdd, software development, web services, microsoft azure, dicom, javascript",https://www.naukri.com/job-listings-software-developer-angular-net-c-university-of-cambridge-bengaluru-2-to-5-years-180225504246
"software developer(angular,c#)",university of cambridge,2-5 yrs,,bengaluru,"c#, css, bdd, software development, web services, dicom, javascript, healthcare",https://www.naukri.com/job-listings-software-developer-angular-c-university-of-cambridge-bengaluru-2-to-5-years-180225505456
talent acquisition specialist,oneorigin,5-10 yrs,,bengaluru,"cloud computing, c, talent acquisition, staffing, social media, artificial intelligence, web development, manager technology",https://www.naukri.com/job-listings-talent-acquisition-specialist-oneorigin-bengaluru-5-to-10-years-180323501266
recruiter / senior recruiter - sales / gtm,whatfix,3-7 yrs,,bengaluru,"outbound, simulation, social media, campus recruitment, employee engagement, medical insurance, microsoft, continuous improvement",https://www.naukri.com/job-listings-recruiter-senior-recruiter-sales-gtm-whatfix-bengaluru-3-to-7-years-180225502466
senior .net developer,orangemantra,4-8 yrs,,noida,"linq, crystal, ssrs, .net, debugging, sql server, stored procedures, serv",https://www.naukri.com/job-listings-senior-net-developer-orangemantra-noida-4-to-8-years-180325502313
software architect,university of cambridge,5-8 yrs,,bengaluru,"c#, rest, software engineering process, mrp, problem solving, distributed architecture, application development, design patterns",https://www.naukri.com/job-listings-software-architect-university-of-cambridge-bengaluru-5-to-8-years-180225504073
talent acquisition partner,orbcomm technologies,4-8 yrs,,hyderabad,"selection process, process optimization, operational excellence, networking, talent acquisition, maritime, market intelligence, strategic sourcing",https://www.naukri.com/job-listings-talent-acquisition-partner-orbcomm-hyderabad-4-to-8-years-180325506833
senior cloud architect,swiss re,8-12 yrs,,hyderabad,"kubernetes, docker container, python, java, devops, devsecops, communication skills, senior",https://www.naukri.com/job-listings-senior-cloud-architect-swiss-re-hyderabad-8-to-12-years-180325502368
talent acquisition,famapp,2-4 yrs,,bengaluru,"health insurance, networking, talent acquisition, financial inclusion, banking, forecasting, monitoring, recruitment",https://www.naukri.com/job-listings-talent-acquisition-fam-bengaluru-2-to-4-years-170924506498
team manager - production control team,leading client,10-15 yrs,,dubai,"production, product management, iso, industrial engineering, production engineering, pc applications, application, industrial",https://www.naukri.com/job-listings-team-manager-production-control-team-intraglobe-hr-services-llp-dubai-10-to-15-years-170325921386
team manager - production control team,leading client,10-15 yrs,,oman,"production, product management, iso, industrial engineering, production engineering, pc applications, industrial, production management",https://www.naukri.com/job-listings-team-manager-production-control-team-intraglobe-hr-services-llp-oman-10-to-15-years-170325916106
team manager - production control team,leading client,10-15 yrs,,bahrain,"production, product management, iso, industrial engineering, production engineering, pc applications, application, industrial",https://www.naukri.com/job-listings-team-manager-production-control-team-intraglobe-hr-services-llp-bahrain-10-to-15-years-170325916209
team manager - production control team,leading client,10-15 yrs,,sharjah,"production, product management, iso, industrial engineering, production engineering, pc applications, team management, control",https://www.naukri.com/job-listings-team-manager-production-control-team-intraglobe-hr-services-llp-sharjah-10-to-15-years-170325921390
team manager - production control team,leading client,10-15 yrs,,ajman,"production, product management, iso, industrial engineering, production engineering, pc applications, team management, control",https://www.naukri.com/job-listings-team-manager-production-control-team-intraglobe-hr-services-llp-ajman-10-to-15-years-170325921388
team manager - production control team,leading client,10-15 yrs,,abu dhabi,"production, product management, iso, industrial engineering, production engineering, pc applications, application, industrial",https://www.naukri.com/job-listings-team-manager-production-control-team-intraglobe-hr-services-llp-abu-dhabi-10-to-15-years-170325921387
team manager - production control team,leading client,10-15 yrs,,ras al khaimah,"production, product management, iso, industrial engineering, production engineering, pc applications, industrial, production management",https://www.naukri.com/job-listings-team-manager-production-control-team-intraglobe-hr-services-llp-ras-al-khaimah-10-to-15-years-170325921389
team manager - production control team,leading client,10-15 yrs,,united arab emirates,"production, product management, iso, industrial engineering, production engineering, pc applications, industrial, control",https://www.naukri.com/job-listings-team-manager-production-control-team-intraglobe-hr-services-llp-united-arab-emirates-10-to-15-years-170325921380
team manager - production control team,leading client,10-15 yrs,,kuwait,"production, product management, iso, industrial engineering, production engineering, pc applications, industrial, control",https://www.naukri.com/job-listings-team-manager-production-control-team-intraglobe-hr-services-llp-kuwait-10-to-15-years-170325916105
team manager - production control team,leading client,10-15 yrs,,muscat,"production, product management, iso, industrial engineering, production engineering, pc applications, application, industrial",https://www.naukri.com/job-listings-team-manager-production-control-team-intraglobe-hr-services-llp-muscat-10-to-15-years-170325916208
team manager - production control team,leading client,10-15 yrs,,hawally,"production, product management, iso, industrial engineering, production engineering, pc applications, application, industrial",https://www.naukri.com/job-listings-team-manager-production-control-team-intraglobe-hr-services-llp-hawally-10-to-15-years-170325916158
team manager - production control team,leading client,10-15 yrs,,dammam,"production, product management, iso, industrial engineering, production engineering, pc applications, application, industrial",https://www.naukri.com/job-listings-team-manager-production-control-team-intraglobe-hr-services-llp-dammam-10-to-15-years-170325916131
team manager - production control team,leading client,10-15 yrs,,salalah,"production, product management, iso, industrial engineering, production engineering, pc applications, team management, control",https://www.naukri.com/job-listings-team-manager-production-control-team-intraglobe-hr-services-llp-salalah-10-to-15-years-170325916207
team manager - production control team,leading client,10-15 yrs,,sohar,"production, product management, iso, industrial engineering, production engineering, pc applications, team, management",https://www.naukri.com/job-listings-team-manager-production-control-team-intraglobe-hr-services-llp-sohar-10-to-15-years-170325916206
team manager - production control team,leading client,10-15 yrs,,al wakrah,"production, product management, iso, industrial engineering, production engineering, pc applications, team management, control",https://www.naukri.com/job-listings-team-manager-production-control-team-intraglobe-hr-services-llp-al-wakrah-10-to-15-years-170325916150
team manager - production control team,leading client,10-15 yrs,,medina,"production, product management, iso, industrial engineering, production engineering, pc applications, industrial, control",https://www.naukri.com/job-listings-team-manager-production-control-team-intraglobe-hr-services-llp-medina-10-to-15-years-170325916136
team manager - production control team,leading client,10-15 yrs,,riyadh,"production, product management, iso, industrial engineering, production engineering, pc applications, team, management",https://www.naukri.com/job-listings-team-manager-production-control-team-intraglobe-hr-services-llp-riyadh-10-to-15-years-170325916135
team manager - production control team,leading client,10-15 yrs,,jeddah,"production, product management, iso, industrial engineering, production engineering, pc applications, production control, application",https://www.naukri.com/job-listings-team-manager-production-control-team-intraglobe-hr-services-llp-jeddah-10-to-15-years-170325916137
team manager - production control team,leading client,10-15 yrs,,khobar,"production, product management, iso, industrial engineering, production engineering, pc applications, industrial, production management",https://www.naukri.com/job-listings-team-manager-production-control-team-intraglobe-hr-services-llp-khobar-10-to-15-years-170325916133
shift supervisor - production,german - mnc,4-6 yrs,,ranipet,"erp, sap, heavy fabrication, production supervising, daily production, shift planning, welding, production operations",https://www.naukri.com/job-listings-shift-supervisor-production-mahasurya-ventures-india-ranipet-4-to-6-years-170325914810
shift supervisor - production,german - mnc,4-6 yrs,,tirunelveli,"erp, sap, heavy fabrication, production supervising, daily production, shift planning, welding, production operations",https://www.naukri.com/job-listings-shift-supervisor-production-mahasurya-ventures-india-tirunelveli-4-to-6-years-170325914837
shift supervisor - production,german - mnc,4-6 yrs,,amreli,"erp, sap, heavy fabrication, production supervising, daily production, shift planning, welding, production operations",https://www.naukri.com/job-listings-shift-supervisor-production-mahasurya-ventures-india-amreli-4-to-6-years-170325914818
shift supervisor - production,german - mnc,4-6 yrs,,bidar,"erp, sap, heavy fabrication, production supervising, daily production, shift planning, welding, production operations",https://www.naukri.com/job-listings-shift-supervisor-production-mahasurya-ventures-india-bidar-4-to-6-years-170325914822
shift supervisor - production,german - mnc,4-6 yrs,,belgaum,"erp, sap, heavy fabrication, production supervising, daily production, shift planning, welding, production operations",https://www.naukri.com/job-listings-shift-supervisor-production-mahasurya-ventures-india-belgaum-4-to-6-years-170325914829
shift supervisor - production,german - mnc,4-6 yrs,,junagadh,"erp, sap, heavy fabrication, production supervising, daily production, shift planning, welding, production operations",https://www.naukri.com/job-listings-shift-supervisor-production-mahasurya-ventures-india-junagadh-4-to-6-years-170325914815
shift supervisor - production,german - mnc,4-6 yrs,,hubli,"erp, sap, heavy fabrication, production supervising, daily production, shift planning, welding, production operations",https://www.naukri.com/job-listings-shift-supervisor-production-mahasurya-ventures-india-hubli-4-to-6-years-170325914830
shift supervisor - production,german - mnc,4-6 yrs,,ahmednagar,"erp, sap, heavy fabrication, production supervising, daily production, shift planning, welding, production operations",https://www.naukri.com/job-listings-shift-supervisor-production-mahasurya-ventures-india-ahmednagar-4-to-6-years-170325914820
shift supervisor - production,german - mnc,4-6 yrs,,chandigarh,"erp, sap, heavy fabrication, production supervising, daily production, shift planning, welding, production operations",https://www.naukri.com/job-listings-shift-supervisor-production-mahasurya-ventures-india-chandigarh-4-to-6-years-170325914833
shift supervisor - production,german - mnc,4-6 yrs,,indore,"erp, sap, heavy fabrication, production supervising, daily production, shift planning, welding, production operations",https://www.naukri.com/job-listings-shift-supervisor-production-mahasurya-ventures-india-indore-4-to-6-years-170325914794
shift supervisor - production,german - mnc,4-6 yrs,,gir,"erp, sap, heavy fabrication, production supervising, daily production, shift planning, welding, production operations",https://www.naukri.com/job-listings-shift-supervisor-production-mahasurya-ventures-india-gir-4-to-6-years-170325914790
shift supervisor - production,german - mnc,4-6 yrs,,delhi / ncr,"erp, sap, heavy fabrication, production supervising, daily production, shift planning, welding, production operations",https://www.naukri.com/job-listings-shift-supervisor-production-mahasurya-ventures-india-delhi-ncr-4-to-6-years-170325914840
shift supervisor - production,german - mnc,4-6 yrs,,chennai,"erp, sap, heavy fabrication, production supervising, daily production, shift planning, welding, production operations",https://www.naukri.com/job-listings-shift-supervisor-production-mahasurya-ventures-india-chennai-4-to-6-years-170325914835
shift supervisor - production,german - mnc,4-6 yrs,,ahmedabad,"erp, sap, heavy fabrication, production supervising, daily production, shift planning, welding, production operations",https://www.naukri.com/job-listings-shift-supervisor-production-mahasurya-ventures-india-ahmedabad-4-to-6-years-170325914798
shift supervisor - production,german - mnc,4-6 yrs,,lucknow,"erp, sap, heavy fabrication, production supervising, daily production, shift planning, welding, production operations",https://www.naukri.com/job-listings-shift-supervisor-production-mahasurya-ventures-india-lucknow-4-to-6-years-170325914803
shift supervisor - production,german - mnc,4-6 yrs,,noida,"erp, sap, heavy fabrication, production supervising, daily production, shift planning, welding, production operations",https://www.naukri.com/job-listings-shift-supervisor-production-mahasurya-ventures-india-noida-4-to-6-years-170325914799
team manager - production control team,leading client,10-15 yrs,,qatar,"production, product management, iso, industrial engineering, production engineering, pc applications, industrial, control",https://www.naukri.com/job-listings-team-manager-production-control-team-intraglobe-hr-services-llp-qatar-10-to-15-years-170325916103
team manager - production control team,leading client,10-15 yrs,,"saudi arabia, saudi arabia","production, product management, iso, industrial engineering, production engineering, pc applications, industrial, production management",https://www.naukri.com/job-listings-team-manager-production-control-team-intraglobe-hr-services-llp-saudi-arabia-saudi-arabia-10-to-15-years-170325916015
team manager - production control team,leading client,10-15 yrs,,doha,"production, product management, iso, industrial engineering, production engineering, pc applications, application, industrial",https://www.naukri.com/job-listings-team-manager-production-control-team-intraglobe-hr-services-llp-doha-10-to-15-years-170325916104
talent acquisition specialist,nbits,1-4 yrs,,hyderabad,"employee retention, talent acquisition, international recruitment, social media, deployment, hr, management, resource management",https://www.naukri.com/job-listings-talent-acquisition-specialist-nbits-hyderabad-1-to-4-years-170325502821
production manager,vhr professional services,5-10 yrs,35-50 lacs pa,"singapore, canada, united kingdom (uk)","production, production planning, production engineering, industrial engineering, production management, production control, manufacturing engineering, planning",https://www.naukri.com/job-listings-production-manager-vhr-professional-services-singapore-canada-united-kingdom-uk-5-to-10-years-161024010535
production operator (offshore) - qatar energy,creative enterprises,5-10 yrs,,qatar,"operator, oil & gas, production operation, offshore platforms, production, oil, operations, production operations",https://www.naukri.com/job-listings-production-operator-offshore-qatar-energy-creative-enterprises-qatar-5-to-10-years-170325012840
hiring senior hr executive & team leader salary up to 3.60 lpa,virtue placement,2-6 yrs,2.75-4 lacs pa,jaipur,"team management, recruitment management, team leader, senior hr executive, people management skills, attrition control, team handling, lateral hiring",https://www.naukri.com/job-listings-hiring-senior-hr-executive-team-leader-salary-up-to-3-60-lpa-virtue-placement-jaipur-2-to-6-years-150325004729
we have job openings in u.s for java h1b stamped holder,busitants,6-11 yrs,,united states (usa),"devops, h1b, html, java fullstack, dot net, cloud, us, java",https://www.naukri.com/job-listings-we-have-openings-in-u-s-for-java-h1b-stamped-holder-busitants-united-states-usa-6-to-11-years-150824005390
head talent acquisition,h g infra engineering (hgiel),15-20 yrs,40-45 lacs pa,jaipur,"talent retention, hr strategy, talent management, workforce planning, talent acquisition, succession planning, leadership development, organizational development",https://www.naukri.com/job-listings-head-talent-acquisition-h-g-infra-engineering-hgiel-jaipur-15-to-20-years-170325002143
talent acquisition executive,jekson vision,3-6 yrs,3-5 lacs pa,ahmedabad(iscon ambli road),"end to end recruitment, screening, non it recruitment, it recruitment, technical recruitment, head hunting, talent acquisition, end",https://www.naukri.com/job-listings-talent-acquisition-executive-jekson-vision-ahmedabad-3-to-6-years-170325006357
associate talent marketing,publicis sapient,2-5 yrs,,bengaluru,"outbound, marketing manager, ppc, google analytics, event management, social media, sem, seo",https://www.naukri.com/job-listings-associate-talent-marketing-publics-sapient-bengaluru-2-to-5-years-170225502496
talent acquisition lead,qylis cloud data & cyber security services,6-10 yrs,10-15 lacs pa,hyderabad(gachibowli),"industry mapping, strategic brand management, employer branding, head hunting, lateral hiring, team leading, branding, management",https://www.naukri.com/job-listings-talent-acquisition-lead-qylis-cloud-data-cyber-security-services-hyderabad-6-to-10-years-170325009784
female - diploma engineer,ambica steels,2-3 yrs,,kachchh,"quality, production, production planning, production supervising, manufacturing, mechanical skills, data entry, ms office",https://www.naukri.com/job-listings-female-diploma-engineer-ambica-steels-kachchh-2-to-3-years-170325012329
it specialist/computer programmer,pioneer e solutions,2-5 yrs,,dehradun,"css, c++, bootstrap, react.js, java, git, postgresql, oops",https://www.naukri.com/job-listings-it-specialist-computer-programmer-pioneer-e-solutions-pvt-ltd-dehradun-2-to-5-years-170225504016
assembly senior executive,satish toy manufacturing,7-10 yrs,,nashik,"production engineering, line balancing, shift planning, production planning, production supervising, production assembly, kaizen, assembly shop",https://www.naukri.com/job-listings-assembly-senior-executive-satish-toy-manufacturing-nashik-7-to-10-years-160325001288
food tech - (production / qc ),makson group,2-4 yrs,3-4 lacs pa,surendranagar,"working as a food technologist is an important job that ensures food manufacturers produce safe and high-quality food for consumers to eat., as, technical analysis, consumer, manufacturing, food technology, production, qc",https://www.naukri.com/job-listings-food-tech-production-qc-makson-group-surendranagar-2-to-4-years-150125012248
non-it recruiter,events services,1-2 yrs,3-4 lacs pa,bengaluru,"screening, non-it, sourcing, non it recruitment, recruitment",https://www.naukri.com/job-listings-non-it-recruiter-multi-recruit-bengaluru-1-to-2-years-150325004849
urgent opening for non -it recruiter,vensure,4-8 yrs,,noida(sector-142 noida),"bpo hiring, non it recruitment, non technical recruitment, bulk hiring, bulk, it recruitment, hiring, bpo",https://www.naukri.com/job-listings-urgent-opening-for-non-it-recruiter-vensure-noida-4-to-8-years-170325009733
c# professional,diverse lynx,1-6 yrs,,hyderabad,"c, wcf, wpf, c#",https://www.naukri.com/job-listings-c-professional-diverse-lynx-hyderabad-1-to-6-years-160523500182
sr talent acquisition (it sales hiring),trask,5-10 yrs,,bengaluru,"relationship management, cvs, sales hiring, sales operations, talent acquisition, staffing, head hunting, it sales",https://www.naukri.com/job-listings-sr-talent-acquisition-it-sales-hiring-trask-bengaluru-5-to-10-years-170124500273
sr. .net full stack developer,cyber infrastructure,3-6 yrs,,indore,".net core, asp.net, mvc, angular, c#, web api, entity framework, .net",https://www.naukri.com/job-listings-sr-net-full-stack-developer-cyber-infrastructure-indore-3-to-6-years-170325019177
dotnet core developer,unvired,2-7 yrs,,bengaluru,"linq, web development, entity framework, .net, sql, framework, core, web technologies",https://www.naukri.com/job-listings-dotnet-core-developer-unvired-bengaluru-2-to-7-years-161222502080
painting supervisor ( industrial valve ),xomox sanmar limited,5-10 yrs,,tiruchirapalli,"blasting, grit, coating, manual painting, painting, powder coating, valves, phosphating",https://www.naukri.com/job-listings-painting-supervisor-industrial-valve-xomox-sanmar-limited-tiruchirapalli-5-to-10-years-150325004501
dotnet mvc developer,diverse lynx,2-6 yrs,,hyderabad,".net, mvc, development",https://www.naukri.com/job-listings-dotnet-mvc-developer-diverse-lynx-hyderabad-2-to-6-years-160523500583
wanted quality inspector for motor division @ coimbatore,dmw cnc solutions,1-2 yrs,2.25-2.75 lacs pa,coimbatore,"inprocess inspection, final quality, final inspection, incoming inspection, incoming quality, inprocess quality",https://www.naukri.com/job-listings-wanted-quality-inspector-for-motor-division-coimbatore-dmw-cnc-solutions-india-pvt-ltd-coimbatore-1-to-2-years-140325006587
operational excellence manager,parason machinery,8-10 yrs,10-14 lacs pa,aurangabad(chikalthana),"operational excellence, continuous improvement, manufacturing operations, lean implementation, lean six sigma, manufacturing operation, manufacturing, operations management",https://www.naukri.com/job-listings-operational-excellence-manager-parason-machinery-aurangabad-8-to-10-years-130325019343
manager - talent acquisition,interview kickstart,3-7 yrs,,bengaluru,"manager talent acquisition, market mapping, process optimization, team management, sales, talent acquisition, stakeholder management, catering",https://www.naukri.com/job-listings-manager-talent-acquisition-interview-kickstart-bengaluru-3-to-7-years-130325500655
talent acquisition lead,delta,10-17 yrs,,krishnagiri,"talent acquisition, talent engagement, lateral hiring, niche hiring, campus hiring, leadership hiring, talent sourcing, head hunting",https://www.naukri.com/job-listings-talent-acquisition-lead-delta-krishnagiri-10-to-17-years-130325016620
international business development-recruiter (wfh) | female only,jobs territory,2-7 yrs,,remote,"international clients, client onboarding, non it recruitment, non it recruiter, international business development, international client management, client acquisition, international business",https://www.naukri.com/job-listings-international-business-development-recruiter-wfh-female-only-jobs-territory-bengaluru-2-to-7-years-130325914173
manager:- manufacturing (polyamide),harsha engineers,15-20 yrs,15-19 lacs pa,ahmedabad(changodar),"production engineering, manufacturing operations, production, manufacturing, management, operations, engineering, manufacturing operation",https://www.naukri.com/job-listings-manager-manufacturing-polyamide-harsha-engineers-ahmedabad-15-to-20-years-130325010674
b.e mechanical engineer jobs in dubai | gulf,art technologies,1-5 yrs,4-6.5 lacs pa,"dubai, chennai, united arab emirates","engineer, production engineering, machine operator, maintenance engineering, technician, mep engineer, ducting, injection moulding",https://www.naukri.com/job-listings-b-e-mechanical-engineer-jobs-in-dubai-gulf-art-technologies-chennai-dubai-united-arab-emirates-1-to-5-years-140325007394
hr business partner,qylis,4-6 yrs,6-12 lacs pa,hyderabad(gachibowli),"employee engagement, hr strategy, performance management, employer branding, employee communication, communication skills, engagement, branding",https://www.naukri.com/job-listings-hr-business-partner-qylis-hyderabad-4-to-6-years-140325005838
talent acquisition specialist,onward technologies,2-6 yrs,,chennai,"screening, end to end recruitment, sourcing, recruitment, ats, interview coordination, automotive recruiter, interview scheduling",https://www.naukri.com/job-listings-talent-acquisition-specialist-onward-technologies-ltd-chennai-2-to-6-years-130325011906
recruitment lead,innovationm,4-7 yrs,,noida,"team management, client management, it recruitment, it recruitment lead, contract staffing, communications skills, analytical skills, vendor management",https://www.naukri.com/job-listings-recruitment-lead-innovationm-noida-4-to-7-years-140225018111
technical lead,axicorp,6-11 yrs,,bengaluru,"technical lead, technical leadership, technical",https://www.naukri.com/job-listings-technical-lead-axicorp-bengaluru-6-to-11-years-141124501519
associate specialist - developer,issquared india .,1-3 yrs,,noida,"computer science, ticketing, project management, analytical, billing, presales, asset management, troubleshooting",https://www.naukri.com/job-listings-associate-specialist-developer-issquared-india-private-limited-noida-1-to-3-years-140225501554
senior tekla modeller / steel detailer,kmp gulf consulting engineers,4-8 yrs,4-9 lacs pa,"chennai, united arab emirates","tekla structures, senior, modeling, tekla, steel, steel detailing, detailing, modeler",https://www.naukri.com/job-listings-senior-tekla-modeller-steel-detailer-kmp-gulf-consulting-engineers-chennai-united-arab-emirates-4-to-8-years-140325009180
talent acquisition lead,oliva skin & hair clinics,2-7 yrs,2.5-5 lacs pa,hyderabad,"communication skills, sourcing, recruitment, talent acquisition, interview coordination, screening, interviewing, coordination",https://www.naukri.com/job-listings-talent-acquisition-lead-oliva-skin-hair-clinics-hyderabad-2-to-7-years-130325011573
sr. .net full stack developer,cyber infrastructure,3-6 yrs,,indore,".net core, asp.net, mvc, angular, c#, web api, .net, entity framework",https://www.naukri.com/job-listings-sr-net-full-stack-developer-cyber-infrastructure-indore-3-to-6-years-140225019079
sr manager / manager - talent management,bhartiya samruddhi finance,5-10 yrs,,hyderabad,"business development management, head business development, manager talent management, pdf, talent acquisition, bfsi, action plan, head hunting",https://www.naukri.com/job-listings-sr-manager-manager-talent-management-bhartiya-samruddhi-finance-limited-hyderabad-5-to-10-years-140922500408
senior .net developer,"epiq systems, inc.",6-9 yrs,,hyderabad,"c#, technical support, .net, vb, javascript, communication skills",https://www.naukri.com/job-listings-senior-net-developer-epiq-systems-inc-hyderabad-6-to-9-years-141124504690
blueprism developer,diverse lynx,2-6 yrs,,hyderabad,"process automation, web development, it projects, process development, programming, .net, robotics, blue prism",https://www.naukri.com/job-listings-blueprism-developer-diverse-lynx-hyderabad-2-to-6-years-140222500046
sr. developers,bhuvan technologies,4-9 yrs,,bengaluru,"server, code, json, ios, uxdevelopment, java, ui, web",https://www.naukri.com/job-listings-sr-developers-bhuvan-technologies-bengaluru-4-to-9-years-140519500364
