Title,Company,Experience,Salary,Location,Skills,Link,Skills_List,Experience_Years
dot net with react developer,ib services ampamp technologies,2-5 yrs,Not Disclosed,bengaluru,ui development performance tuning ms sql jquery web technologies cloud services rdbms javascript,https://www.naukri.com/job-listings-dot-net-with-react-developer-ib-services-amp-amp-technologies-bengaluru-2-to-5-years-210622501757,['ui development performance tuning ms sql jquery web technologies cloud services rdbms javascript'],2
sr software programmer aspnet c,prohuman technology,4-6 yrs,Not Disclosed,mumbai,aspnet c dot net core webapi sql server,https://www.naukri.com/job-listings-sr-software-programmer-asp-net-c-prohuman-technology-mumbai-4-to-6-years-210325904598,['aspnet c dot net core webapi sql server'],4
rpo specialist kpobpo voice process,sourceright technologies,2-3 yrs,Not Disclosed,mumbai faridabad,voice process bpo outbound networking staffing social media outsourcing analytics,https://www.naukri.com/job-listings-rpo-specialist-kpo-bpo-voice-process-sourceright-technologies-india-private-limited-mumbai-faridabad-2-to-3-years-210325506358,['voice process bpo outbound networking staffing social media outsourcing analytics'],2
senior dot net developer,calpion software technologies private ltd,5-8 yrs,Not Disclosed,bengaluru,application support jquery front end linux hp data protector coding javascript agile,https://www.naukri.com/job-listings-senior-dot-net-developer-calpion-software-technologies-private-ltd-bengaluru-5-to-8-years-201124501381,['application support jquery front end linux hp data protector coding javascript agile'],5
technical lead  net,exegesis,5-7 yrs,Not Disclosed,hybrid  navi mumbai,technical lead vbnet aspnet dot net c dot net technical leadership,https://www.naukri.com/job-listings-technical-lead-net-exegesis-navi-mumbai-5-to-7-years-210325007681,['technical lead vbnet aspnet dot net c dot net technical leadership'],5
sr dot net developer,n consulting global,5-8 yrs,Not Disclosed,hyderabad,sql queries mvc framework adonet consulting database aspnet net stored procedures,https://www.naukri.com/job-listings-sr-dot-net-developer-n-consulting-global-hyderabad-5-to-8-years-210125504368,['sql queries mvc framework adonet consulting database aspnet net stored procedures'],5
java developer multithreading,kezan india,5-10 yrs,25-32.5 lacs pa,mumbai navi mumbai mumbai all areas,executor framework multithreading kafka spring boot microservices java8 spring cloud execution,https://www.naukri.com/job-listings-java-developer-multithreading-kezan-consulting-mumbai-navi-mumbai-mumbai-all-areas-5-to-10-years-210325022669,['executor framework multithreading kafka spring boot microservices java8 spring cloud execution'],5
lead dot net developer,delaplex,8-13 yrs,Not Disclosed,nagpur,front end version control git web technologies javascript supply chain solutions html aspnet mvc,https://www.naukri.com/job-listings-lead-dot-net-developer-delaplex-software-nagpur-8-to-13-years-210225502389,['front end version control git web technologies javascript supply chain solutions html aspnet mvc'],8
senior dot net developer,park intelli solutions,10-15 yrs,Not Disclosed,coimbatore,kubernetes css orm libraries docker reactjs devops aspnet debugging,https://www.naukri.com/job-listings-senior-dot-net-developer-park-intelli-coimbatore-10-to-15-years-210225503360,['kubernetes css orm libraries docker reactjs devops aspnet debugging'],10
support hot zone casting wdipl,welspun di pipes limited,3-7 yrs,Not Disclosed,anjar,sheet metal demand forecasting project management quality control iso production control engineering,https://www.naukri.com/job-listings-support-hot-zone-casting-wdipl-welspun-di-pipes-limited-anjar-3-to-7-years-210325011194,['sheet metal demand forecasting project management quality control iso production control engineering'],3
hrta  hb vertical,fashion tv,3-5 yrs,Not Disclosed,mumbai,business administration networking senior management talent acquisition staffing analytical social media hr,https://www.naukri.com/job-listings-hr-ta-h-b-vertical-fashion-tv-india-mumbai-3-to-5-years-210325504880,['business administration networking senior management talent acquisition staffing analytical social media hr'],3
talent acquisition manager,ks legal  associates,5-8 yrs,Not Disclosed,mumbai,talent acquisition hr operation sourcing human resources hr planning recruitment acquisition source,https://www.naukri.com/job-listings-talent-acquisition-manager-ks-legal-mumbai-5-to-8-years-210325905431,['talent acquisition hr operation sourcing human resources hr planning recruitment acquisition source'],5
dot net developer with angular,relq technologies,3-7 yrs,Not Disclosed,kochi thrissur kozhikode thiruvananthapuram,front end version control git javascript agile entity framework application development analytics,https://www.naukri.com/job-listings-dot-net-developer-with-angular-relq-technologies-kochi-thrissur-kozhikode-thiruvananthapuram-3-to-7-years-210125504369,['front end version control git javascript agile entity framework application development analytics'],3
graduate engineer trainee,hikal,1-3 yrs,Not Disclosed,jamnagar ahmedabad rajkot surat vadodara,mechanical engineering quality control production autocad catia automobile staff development manpower handling,https://www.naukri.com/job-listings-graduate-engineer-trainee-hikal-ltd-jamnagar-ahmedabad-rajkot-surat-vadodara-1-to-3-years-191224501191,['mechanical engineering quality control production autocad catia automobile staff development manpower handling'],1
staff technical support engineer rotational shift,eightfold ai,1-4 yrs,Not Disclosed,bengaluru,service level technical services customer satisfaction debugging technical leadership issue resolution customer support customer experience,https://www.naukri.com/job-listings-staff-technical-support-engineer-rotational-shift-eightfold-ai-bengaluru-1-to-4-years-200325504250,['service level technical services customer satisfaction debugging technical leadership issue resolution customer support customer experience'],1
ppc engineer production planning control engineer,steel metal manufacturing,1-5 yrs,Not Disclosed,navi mumbai mumbai all areasttc industrial area 1,steel industry metal steel production planning control furniture industry industrial engineering metal fabrication industrial furniture,https://www.naukri.com/job-listings-ppc-engineer-production-planning-control-engineer-my-career-designer-navi-mumbai-mumbai-all-areas-1-to-5-years-200325023950,['steel industry metal steel production planning control furniture industry industrial engineering metal fabrication industrial furniture'],1
dot net developer,facillima software,3-5 yrs,Not Disclosed,remote,c net core web api net mvc net mvc aspnet mvc api,https://www.naukri.com/job-listings-dot-net-developer-facillima-software-delhi-ncr-3-to-5-years-200325010060,['c net core web api net mvc net mvc aspnet mvc api'],3
dot net developer,leadmetrics,2-5 yrs,Not Disclosed,kochi,c infrastructure management adonet javascript infrastructure entity framework aspnet digital marketing,https://www.naukri.com/job-listings-dot-net-developer-leadmetrics-kochi-2-to-5-years-200325504457,['c infrastructure management adonet javascript infrastructure entity framework aspnet digital marketing'],2
dot net developer,prohuman technology,4-6 yrs,Not Disclosed,goregaon,c aspnet sql server api development dot net serv,https://www.naukri.com/job-listings-dot-net-developer-prohuman-technology-goregaon-4-to-6-years-200325020585,['c aspnet sql server api development dot net serv'],4
dot net developer,metro labs,3-4 yrs,Not Disclosed,hyderabad,focus dot development net,https://www.naukri.com/job-listings-dot-net-developer-metro-labs-hyderabad-3-to-4-years-200624501815,['focus dot development net'],3
dot net mvc developer,unik technologies,2-3 yrs,2.5-3.5 lacs pa,new delhi,dot net sql server dot net mvc c json bootstrap live streaming angular,https://www.naukri.com/job-listings-dot-net-mvc-developer-unik-technologies-new-delhi-2-to-3-years-200325920248,['dot net sql server dot net mvc c json bootstrap live streaming angular'],2
dot net developer,callaway digital technologies,2-5 yrs,Not Disclosed,hyderabad,java net developer development dot net,https://www.naukri.com/job-listings-dot-net-developer-callaway-digital-technologies-hyderabad-2-to-5-years-200224501071,['java net developer development dot net'],2
dot net developer,jenesys technologies,4-7 yrs,Not Disclosed,bengaluru,c server development code technical level developing sharepoint,https://www.naukri.com/job-listings-dot-net-developer-jenesys-technologies-bengaluru-4-to-7-years-200715504364,['c server development code technical level developing sharepoint'],4
full stack developer dot net angular,ilink digital,4-6 yrs,Not Disclosed,chennai,telecom cloud computing jquery data management javascript healthcare technical lead html,https://www.naukri.com/job-listings-full-stack-developer-dot-net-angular-ilink-multitech-solutions-pvt-ltd-chennai-4-to-6-years-200325507263,['telecom cloud computing jquery data management javascript healthcare technical lead html'],4
dot net full stack developer,netatwork,2-4 yrs,Not Disclosed,hyderabad,c net core aspnet mvc net aspnet angular dot net fullstack,https://www.naukri.com/job-listings-dot-net-full-stack-developer-opsmaven-services-hyderabad-2-to-4-years-200325008677,['c net core aspnet mvc net aspnet angular dot net fullstack'],2
dot net developer,bix bytes solutions,8-10 yrs,Not Disclosed,mangaluru,dotnet development entity framework core net core aspnet aspnet core aspnet core mvc angular sql,https://www.naukri.com/job-listings-dot-net-developer-bix-bytes-solutions-mangaluru-8-to-10-years-200325018848,['dotnet development entity framework core net core aspnet aspnet core aspnet core mvc angular sql'],8
dot net developer,system soft,10-12 yrs,Not Disclosed,hyderabad,linq front end database design coding agile development consulting javascript project planning,https://www.naukri.com/job-listings-dot-net-developer-system-soft-technologies-hyderabad-10-to-12-years-200324502235,['linq front end database design coding agile development consulting javascript project planning'],10
dotnet senior developer,jenesys technologies,4-7 yrs,Not Disclosed,bengaluru,development technical sharepoint experience sql server managerial skills sql asp net,https://www.naukri.com/job-listings-dot-net-senior-developer-jenesys-technologies-bengaluru-4-to-7-years-200715502097,['development technical sharepoint experience sql server managerial skills sql asp net'],4
dot net core developer,netserv,2-4 yrs,Not Disclosed,bengaluru,web technologies soa enterprise integration javascript entity framework mvc aspnet mvc sql,https://www.naukri.com/job-listings-dot-net-core-developer-sm-netserv-technologies-pvt-ltd-bengaluru-2-to-4-years-200125502576,['web technologies soa enterprise integration javascript entity framework mvc aspnet mvc sql'],2
senior software engineer,becton dickinson,2-5 yrs,Not Disclosed,bengaluru,system administration ip powershell debugging protocols osi model sql osi,https://www.naukri.com/job-listings-senior-software-engineer-bd-bengaluru-2-to-5-years-191224502771,['system administration ip powershell debugging protocols osi model sql osi'],2
dot net core developer,overture rede,4-8 yrs,Not Disclosed,gurugram,computer science sql queries interpersonal skills nosql c coding analytical debugging,https://www.naukri.com/job-listings-dot-net-core-developer-overture-rede-pvt-ltd-gurugram-4-to-8-years-200325504649,['computer science sql queries interpersonal skills nosql c coding analytical debugging'],4
dot net core backend developer,prop solutions4u,4-5 yrs,Not Disclosed,tiruchirapalli,it services front end cloud services database net mvc stored procedures continuous improvement,https://www.naukri.com/job-listings-dot-net-core-back-end-developer-prop-solution-4u-pvt-ltd-tiruchirapalli-4-to-5-years-200225503178,['it services front end cloud services database net mvc stored procedures continuous improvement'],4
dot net developer,diverse lynx,2-7 yrs,Not Disclosed,bengaluru,nunit linq front end mvvm database design stored procedures unit testing wpf,https://www.naukri.com/job-listings-dot-net-developer-diverse-lynx-bengaluru-2-to-7-years-201022502600,['nunit linq front end mvvm database design stored procedures unit testing wpf'],2
urgent hiring for dot net h1b visa holders,busitants,7-12 yrs,Not Disclosed,united states usa,aspnet dot dotnet azure dotnet web application microsoft azure net h1b web technologies,https://www.naukri.com/job-listings-urgent-hiring-for-dot-net-h1b-visa-holders-busitants-united-states-usa-7-to-12-years-190325018359,['aspnet dot dotnet azure dotnet web application microsoft azure net h1b web technologies'],7
senior dot net developer  remote,selerant,10 yrs,15-20 lacs pa,remote,tfs javascript net development sql database css web api typescript net mvc,https://www.naukri.com/job-listings-senior-dot-net-developer-remote-selerant-chennai-10-to-10-years-190325024045,['tfs javascript net development sql database css web api typescript net mvc'],10
dot net developer,clobas,1-6 yrs,Not Disclosed,bengaluru,web api dot net wcf services stored procedures sql server javascript c   net jquery,https://www.naukri.com/job-listings-dot-net-developer-clobas-private-limited-bengaluru-1-to-6-years-190821500206,['web api dot net wcf services stored procedures sql server javascript c   net jquery'],1
dot net lead,harman connected services corporation india pvt,1-2 yrs,Not Disclosed,bengaluru,automation interpersonal skills integration testing agile data structures unit testing aspnet mvc distribution system,https://www.naukri.com/job-listings-dot-net-lead-harman-connected-services-corporation-india-pvt-bengaluru-1-to-2-years-191124504397,['automation interpersonal skills integration testing agile data structures unit testing aspnet mvc distribution system'],1
dot net developer,wenodo,2-5 yrs,Not Disclosed,bhopal,ui development root cause analysis front end version control git web technologies aspnet html,https://www.naukri.com/job-listings-dot-net-developer-wenodo-bhopal-2-to-5-years-190325509555,['ui development root cause analysis front end version control git web technologies aspnet html'],2
dot net developer,webcooks technologies,2-5 yrs,Not Disclosed,amritsar,css adonet net development ajax jquery aspnet html web api,https://www.naukri.com/job-listings-dot-net-developer-webcooks-technologies-pvt-ltd-amritsar-2-to-5-years-190325509372,['css adonet net development ajax jquery aspnet html web api'],2
senior dot net developer  permanent with product based mnc  noida,iqode digital solutions private limited,5-10 yrs,Not Disclosed,noida,root cause analysis backend front end database design agile development design management agile methodology mvc,https://www.naukri.com/job-listings-senior-dot-net-developer-permanent-with-product-based-mnc-noida-i-qode-digital-solutions-private-limited-noida-5-to-10-years-190325509157,['root cause analysis backend front end database design agile development design management agile methodology mvc'],5
dot net developer,squalas,3-5 yrs,Not Disclosed,hyderabad,software design architecture debugging software development life cycle programming net deployment technical support,https://www.naukri.com/job-listings-dot-net-developer-squalas-hyderabad-3-to-5-years-190723501708,['software design architecture debugging software development life cycle programming net deployment technical support'],3
dot net developer lead,techcronus business solutions,5-10 yrs,Not Disclosed,ahmedabad,c sql webapi net mvc css postgresql html,https://www.naukri.com/job-listings-dot-net-developer-lead-techcronus-business-solutions-ahmedabad-5-to-10-years-190325014671,['c sql webapi net mvc css postgresql html'],5
dot net developer,fintech company,4-5 yrs,Not Disclosed,hyderabad,c dot net sql entity net core aspnet mvc dot,https://www.naukri.com/job-listings-dot-net-developer-enormous-it-services-hyderabad-4-to-5-years-190325021715,['c dot net sql entity net core aspnet mvc dot'],4
dot net developer,jrd systems private ltd,3-7 yrs,Not Disclosed,hyderabad,data analysis jquery mysql javascript agile json mvc visual studio,https://www.naukri.com/job-listings-dot-net-developer-jrd-systems-private-ltd-hyderabad-3-to-7-years-190325512910,['data analysis jquery mysql javascript agile json mvc visual studio'],3
chief manager branding and communication chennai,a nbfc,8-12 yrs,35-37.5 lacs pa,chennai,brand management corporate branding branding and marketing communication skills management marketing brand branding,https://www.naukri.com/job-listings-chief-manager-branding-and-communication-chennai-talent-leads-hr-chennai-8-to-12-years-190325008044,['brand management corporate branding branding and marketing communication skills management marketing brand branding'],8
sr full stack dot net developer,proplegit global,5-7 yrs,Not Disclosed,ahmedabad,net c css linq entity framework payment gateways html web api,https://www.naukri.com/job-listings-sr-full-stack-dot-net-developer-proplegit-ahmedabad-5-to-7-years-190325914036,['net c css linq entity framework payment gateways html web api'],5
c dot net professional,fusion plus solutions,3-4 yrs,Not Disclosed,hyderabad,usage c pharma debugging troubleshooting sql python pharmaceutical,https://www.naukri.com/job-listings-c-dot-net-professional-fusion-plus-solutions-inc-hyderabad-3-to-4-years-191124504405,['usage c pharma debugging troubleshooting sql python pharmaceutical'],3
avp manager  dot net,moodys investors service,3-8 yrs,Not Disclosed,bengaluru,mis structured finance manager technology javascript aspnet json mvc microsoft technologies,https://www.naukri.com/job-listings-avp-manager-dot-net-moodys-investors-service-bengaluru-3-to-8-years-190225504498,['mis structured finance manager technology javascript aspnet json mvc microsoft technologies'],3
dot net developer,fusion plus solutions,4-5 yrs,Not Disclosed,hyderabad,server css web application octopus vuejs dbms azure devops sql,https://www.naukri.com/job-listings-dot-net-developer-fusion-plus-solutions-inc-hyderabad-4-to-5-years-191224500720,['server css web application octopus vuejs dbms azure devops sql'],4
dot net azure architect,callaway digital technologies,9-14 yrs,Not Disclosed,hybrid  hyderabad,azure dot net net mvc net rest api services microservices architecture microsoft azure,https://www.naukri.com/job-listings-dot-net-azure-architect-callaway-digital-technologies-hyderabad-9-to-14-years-191124030586,['azure dot net net mvc net rest api services microservices architecture microsoft azure'],9
dot net full stack developer,fusion plus solutions,5-7 yrs,Not Disclosed,hyderabad,css dom git devops query programming javascript html,https://www.naukri.com/job-listings-dot-net-full-stack-developer-fusion-plus-solutions-inc-hyderabad-5-to-7-years-191124504406,['css dom git devops query programming javascript html'],5
senior production engineer  pollution control equipments,talent corner hr services,4-7 yrs,7-9 lacs pa,navi mumbai,cnc machine production engineering pollution control industrial engineering welding machine six sigma autocad assembly fixtures,https://www.naukri.com/job-listings-senior-production-engineer-pollution-control-equipments-talent-corner-hr-services-navi-mumbai-4-to-7-years-190325009425,['cnc machine production engineering pollution control industrial engineering welding machine six sigma autocad assembly fixtures'],4
dot net c mssql,fusion plus solutions,5-8 yrs,Not Disclosed,hyderabad,ms sql c web technologies sql microsoft dot sql server net,https://www.naukri.com/job-listings-dot-net-c-mssql-fusion-plus-solutions-inc-hyderabad-5-to-8-years-191124504432,['ms sql c web technologies sql microsoft dot sql server net'],5
